"","taxon","node","MCC_height","richness","heightMedian","heightMean","height_95._HPD_MIN","height_95._HPD_MAX"
"228","Arctocebus",8428,0.492068287999956,2,1.42,2.5,0.01,8.95
"229","Arctocephalus",6968,2.73440150189995,8,2.9,2.91,2.13,3.67
"230","Arielulus",7293,18.70096289,5,18.87,18.87,18.7,19.04
"231","Artibeus",7874,5.54043612670009,10,5.14,5.21,3.97,6.61
"232","Arvicanthis",9929,7.77336229189996,7,8.33,8.37,6.59,10.23
"233","Arvicola",10410,3.05913144619998,3,2.55,2.57,1.5,3.6
"234","Asellia",8180,11.530348905,3,4.37,6.12,0.11,17.42
"235","Aselliscus",8172,8.899000487,2,11.61,11.71,9.16,14.58
"236","Atelerix",6408,4.06065029899995,4,4.55,4.68,2.69,7.15
"237","Ateles",8679,2.10703463699997,7,2.36,2.38,1.53,3.23
"238","Atherurus",9185,10.852200223,2,7.79,7.87,5.65,10.33
"239","Auliscomys",10851,5.89711395222994,3,4.85,4.87,3.35,6.46
"240","Avahi",8442,6.66615569599998,9,3.99,4.57,2.02,8.45
"241","Axis",6604,2.68897050599995,4,2.43,2.5,1.31,3.76
"242","Babyrousa",6463,1.32088877749999,3,1.69,2.03,0.54,4.63
"243","Baiomys",10595,7.94242331299998,2,7.3,7.34,5.08,9.58
"244","Baiyankamys",9672,1.62550488299993,2,1.1,1.83,0,6.13
"245","Balaenoptera",6472,8.39867748599994,7,9.13,9.24,6.42,11.86
"246","Balantiopteryx",7129,12.200333735,3,11.65,11.77,8.69,15.17
"247","Bandicota",9761,7.59375091959996,3,8.75,8.77,7.38,10.15
"248","Barbastella",7489,11.450282084,3,10.45,10.44,7.52,13.19
"249","Bassaricyon",7009,2.93028434029998,4,3.13,3.18,2,4.5
"250","Bassariscus",7004,4.65399109829997,2,5.13,5.18,3.31,7.01
"251","Bathyergus",9216,2.13084721799999,2,1.9,1.96,0.84,3.25
"252","Batomys",9675,9.76643284829996,5,11.39,11.52,8.7,14.39
"253","Bdeogale",6840,2.01465061429994,4,1.54,1.68,0.65,3.03
"254","Berardius",6510,1.22663068149993,2,1.25,1.31,0.32,2.34
"255","Berylmys",9859,3.40712414459995,4,2.25,3,0.99,7.52
"256","Bettongia",11784,5.39593362100001,5,6.11,6.21,4.06,8.6
"257","Bibimys",10728,11.5124208572999,3,1.59,2.72,0.06,8.78
"258","Bison",6644,2.64684223879996,2,3.02,3.02,2.09,4.04
"259","Biswamoyopterus",9158,0.327688281799965,2,1.02,1.68,0.01,5.44
"260","Blanfordimys",10358,4.87001389799994,3,4.92,4.94,3.56,6.4
"261","Blarina",6277,3.49377540499998,3,3.34,3.4,1.83,5.3
"262","Blarinella",6309,5.72697505299996,3,6.1,6.19,3.44,8.8
"263","Boromys",9380,0.594551124999924,2,0.76,1.24,0,4.05
"264","Bos",6642,2.83347654899995,9,3.46,3.49,2.49,4.52
"265","Brachyphylla",7947,1.84175580010003,2,1.59,1.61,0.61,2.59
"266","Brachytarsomys",11056,15.043709542,2,4.64,6.74,0.05,20.08
"267","Brachyteles",8686,0.898281250999958,2,0.99,1.02,0.27,1.7
"268","Brachyuromys",11077,5.95693174459998,2,5.17,5.3,2.46,8.38
"269","Bradypus",11367,17.368017658,4,16.42,16.63,10.07,23.61
"270","Brucepattersonius",10719,8.80656459064994,8,5.57,5.68,3.7,7.78
"271","Bubalus",6654,1.50953680199996,4,2.05,2.07,1.14,3.14
