Order,Family,Genus,Species,Binomial name,Extinct or extant,Island endemicity: Strict definition,IslandEndemic_strict,Island endemicity: Classical definition,IslandEndemic_classic,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Muntiacus,atherodes,Muntiacus_atherodes,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Muntiacus,montanus,Muntiacus_montanus,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Praemegaceros,cazioti,Praemegaceros_cazioti,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Rusa,alfredi,Rusa_alfredi,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Rusa,marianna,Rusa_marianna,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,CERVIDAE,Rusa,timorensis,Rusa_timorensis,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Allocebus,trichotis,Allocebus_trichotis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Cheirogaleus,adipicaudatus,Cheirogaleus_adipicaudatus,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Cheirogaleus,crossleyi,Cheirogaleus_crossleyi,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Cheirogaleus,major,Cheirogaleus_major,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Cheirogaleus,medius,Cheirogaleus_medius,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Cheirogaleus,minusculus,Cheirogaleus_minusculus,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Cheirogaleus,ravus,Cheirogaleus_ravus,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Cheirogaleus,sibreei,Cheirogaleus_sibreei,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,berthae,Microcebus_berthae,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,bongolavensis,Microcebus_bongolavensis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,danfossorum,Microcebus_danfossorum,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,griseorufus,Microcebus_griseorufus,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,jollyae,Microcebus_jollyae,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,lehilahytsara,Microcebus_lehilahytsara,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,mamiratra,Microcebus_mamiratra,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,mittermeieri,Microcebus_mittermeieri,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,murinus,Microcebus_murinus,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,myoxinus,Microcebus_myoxinus,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,ravelobensis,Microcebus_ravelobensis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
